UniqueID,Site,Tag,Array,Genotype,FragID,TissueSampledT0,TissueSampledT24,T0_Status,T0_SA,T12_Status,T12_SA,T12_V,T12_Vhull,T12_IS,T15_Status,T15_SA,T15_V,T15_Vhull,T15_IS,T18_Status,T18_SA,T18_V,T18_Vhull,T18_IS,T24_Status,T24_SA,T24_V,T24_Vhull,T24_IS,T24_Dead,T24_TOD,T24_TOD_mod,T0_V,T0_IS
BH31,Bahia Honda,31,1,AP13-X7,28,1,0,A,5.298,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,12,12,0,0
BH32,Bahia Honda,32,1,AP13-X5,27,1,0,A,3.3,A,NA,NA,NA,NA,A,5.637999,0.592835,1.326574,0.733739,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,18,18,0,0
BH33,Bahia Honda,33,1,AP13-XK,26,0,0,A,4.859,A,NA,NA,NA,NA,A,27.251705,1.000283,2.833136,1.832853,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,18,18,0,0
BH34,Bahia Honda,34,1,AP13-X9,25,0,0,A,5,A,NA,NA,NA,NA,A,38.935863,6.330623,11.999094,5.668471,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,18,18,0,0
BH35,Bahia Honda,35,1,AP14-5,30,1,0,A,4.047,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,6,6,0,0
BH36,Bahia Honda,36,2,AP13-XK,16,1,0,A,5.507,A,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,15,15,0,0
BH37,Bahia Honda,37,2,AP13-X9,28,1,0,A,4.456,A,14.5321,1.312681,2.750726,1.438045,A,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,18,18,0,0
BH38,Bahia Honda,38,2,AP13-X5,25,0,0,A,3.67,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,12,12,0,0
BH39,Bahia Honda,39,2,AP13-X7,25,0,0,A,4.849,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,12,12,0,0
BH40,Bahia Honda,40,2,AP14-5,25,0,0,A,5.554,A,5.637939,2.059557,2.829217,0.76966,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,12,12,0,0
