SampleID,Origin_PostHoc,Genet,Ramet,Raceway,Rack,Treatment,Run_initialPAM,Number_initialPAM,RunDate_initialPAM,FvFm_Initial,F0_Initial,NPQ_Initial,ETR-Max_Initial,Run_finalPAM,Number_finalPAM,RunDate_finalPAM,FvFm_Final,FvFm_Final_withNA,F0_Final,F0_Final_withNA,NPQ_Final,NPQ_Final_withNA,ETR_Final,ETR_Final_withNA,SamplingTime_Survival,Mortality,TOD,SA_I,SA_F_Growth,SA_F_Tissue,InitialWeight,Time_initialBW,Date_initialBW,densitySW_initialBW,Davies1989_WeightInitial,FinalWeight,Time_finalBW,Date_finalBW,densitySW_finalBW,Davies1989_WeightFinal,Origin,Origin2,lat_lon
2.1,E-H-SI Batch Cross,2,1,4N,5,Control,64,1,4/1/22,0.445,0.27,0.659,13.4,123,3,5/13/22,0.283,0.283,0.316,0.316,0.557,0.557,8.4,8.4,36,0,36,1.09,1.47,1.47,6.826,13:30,3/28/22,1.025047124,10.49904187,6.938,13:05,13-May,1.025736695,10.67517289,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
2.2,E-H-SI Batch Cross,2,2,5N,16,Heat,88,8,4/1/22,0.43,0.255,0.745,12.2,49,1,5/9/22,0.336,0.336,0.336,0.336,0.471,0.471,6.9,6.9,32,0,36,1.3,1.3,0.9,5.872,12:23,3/29/22,1.025028655,9.03161092,6.013,3:20,8-May,1.025285769,9.249728759,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
2.3,E-H-SI Batch Cross,2,3,6N,28,Control,114,8,4/3/22,0.409,0.196,0.753,13.2,93,8,5/12/22,0.323,0.323,0.334,0.334,0.576,0.576,7.9,7.9,35,0,36,1.41,1.58,1.58,6.078,12:10,3/30/22,1.024792918,9.347298867,6.206,15:20,11-May,1.025960268,9.550000296,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
2.4,E-H-SI Batch Cross,2,4,4S,39,Heat,50,7,3/31/22,0.41,0.192,0.761,11.8,mort run 2,3,5/4/22,0.349,NA,0.246,NA,0.459,NA,6.9,NA,27,1,27,0.9,0.9,0,6.855,11:42,4/1/22,1.024484961,10.54053607,6.943,NA,5/4/22,1.025217,10.67995147,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
2.5,E-H-SI Batch Cross,2,5,5S,41,Heat,17,8,3/29/22,0.409,0.26,0.678,13.9,mort run 1,8,5/2/22,0.317,NA,0.297,NA,0.329,NA,8.4,NA,25,1,25,1.16,1.3,0.5,6.424,14:47,4/3/22,1.024353621,9.877131564,6.521,NA,5/2/22,1.025351,10.03152287,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
2.6,E-H-SI Batch Cross,2,6,6S,53,Control,25,3,3/30/22,0.436,0.219,0.749,16.2,71,1,5/11/22,0.316,0.316,0.335,0.335,0.608,0.608,9,9,34,0,36,1.3,1.46,1.46,6.23,12:01,3/31/22,1.024267975,9.578419084,6.374,10:20,11-May,1.026008211,9.808771294,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
3.1,E-H-SI Batch Cross,3,1,4N,1,Control,75,5,4/1/22,0.438,0.217,0.733,11,118,8,5/13/22,0.254,0.254,0.386,0.386,0.58,0.58,4.8,4.8,36,0,36,1.32,1.39,1.39,6.572,15:48,3/28/22,1.025062231,10.1084457,6.759,11:30,13-May,1.025799728,10.4000983,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
3.2,E-H-SI Batch Cross,3,2,5N,18,Heat,90,7,4/2/22,0.402,0.21,0.659,9,28,1,5/8/22,0.239,NA,0.147,NA,0.208,NA,1.2,NA,31,1,31,1.7,1.94,0,6.739,15:19,3/29/22,1.024682995,10.36324661,6.819,2:38,8-May,1.025256705,10.48942924,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
3.3,E-H-SI Batch Cross,3,3,6N,28,Control,114,6,4/3/22,0.457,0.197,0.659,13.4,93,1,5/12/22,0.38,0.38,0.434,0.434,0.612,0.612,7.3,7.3,35,0,36,1.84,2.51,2.51,7.326,12:10,3/30/22,1.024913813,11.26730126,7.539,15:20,11-May,1.025960268,11.60126526,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
3.4,E-H-SI Batch Cross,3,4,4S,31,Heat,44,7,3/31/22,0.501,0.232,0.753,14.2,mort run 1,1,5/4/22,0.217,NA,0.159,NA,0.271,NA,1.2,NA,27,1,27,1.65,1.8,0,6.917,15:05,4/1/22,1.024623148,10.63664124,7.054,NA,5/4/22,1.025217,10.85069533,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
3.5,E-H-SI Batch Cross,3,5,5S,42,Heat,5,6,3/29/22,0.42,0.231,0.62,8.1,mort run 2,5,5/4/22,0.256,NA,0.148,NA,0.235,NA,1.7,NA,27,1,27,1.9,1.9,0,6.9,17:05,4/1/22,1.024572806,10.6102191,7.058,NA,5/4/22,1.025217,10.85684826,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
3.6,E-H-SI Batch Cross,3,6,6S,56,Control,29,3,3/30/22,0.44,0.229,0.694,11.5,84,5,5/11/22,0.233,0.233,0.328,0.328,0.514,0.514,4.4,4.4,34,0,36,1.09,1.15,1.15,6.711,15:45,3/31/22,1.024260451,10.31789995,6.84,11:56,11-May,1.02604885,10.5261104,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
4.1,E-H-SI Batch Cross,4,1,4N,5,Control,64,8,4/1/22,0.394,0.26,0.565,15.1,123,5,5/13/22,0.219,0.219,0.396,0.396,0.459,0.459,7.3,7.3,36,0,36,0.92,1.21,1.21,6.175,13:30,3/28/22,1.025004676,9.497529876,6.3,13:05,13-May,1.025736695,9.693512422,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
4.2,E-H-SI Batch Cross,4,2,5N,17,Heat,84,3,4/1/22,0.349,0.232,0.655,13.9,47,5,5/9/22,0.345,0.345,0.34,0.34,0.392,0.392,11.8,11.8,32,0,36,1.08,1.18,1.18,6.384,16:20,3/29/22,1.024650556,9.817159818,6.502,3:50,8-May,1.025285769,10.00195184,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
4.3,E-H-SI Batch Cross,4,3,6N,28,Control,113,8,4/3/22,0.332,0.212,0.757,14.4,94,1,5/12/22,0.307,0.307,0.393,0.393,0.467,0.467,11,11,35,0,36,0.94,1.13,1.13,6.669,12:10,3/30/22,1.024913813,10.25684304,6.783,15:20,11-May,1.025960268,10.43790719,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
4.4,E-H-SI Batch Cross,4,4,4S,40,Heat,53,4,3/31/22,0.346,0.225,0.651,12.1,26,1,5/8/22,0.337,0.337,0.402,0.402,0.522,0.522,11.4,11.4,30,0,36,1.1,1.1,0.7,6.476,17:05,4/1/22,1.024572806,9.958228822,6.6,6:10,11-May,1.025960268,10.15630067,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
4.5,E-H-SI Batch Cross,4,5,5S,48,Heat,9,2,3/29/22,0.336,0.25,0.627,14.4,51,3,5/9/22,0.233,0.233,0.344,0.344,0.408,0.408,10.6,10.6,33,0,36,1.22,1.25,0.41,6.102,16:03,4/1/22,1.024572806,9.383124193,6.432,10:20,9-May,1.025640607,9.896115236,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
4.6,E-H-SI Batch Cross,4,6,6S,52,Control,22,6,3/30/22,NA,NA,NA,17.6,74,3,5/11/22,0.278,0.278,0.371,0.371,0.463,0.463,12.4,12.4,34,0,36,0.92,1.12,1.12,5.757,11:10,3/31/22,1.024895026,8.854110524,5.88,10:20,11-May,1.025978003,9.048424876,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
5.1,E-H-SI Batch Cross,5,1,4N,7,Control,66,1,4/1/22,0.414,0.256,0.675,10.8,129,1,5/13/22,0.259,0.259,0.4,0.4,0.506,0.506,6.5,6.5,36,0,36,1.71,2.16,2.14,6.455,15:37,3/28/22,1.025047124,9.928408329,6.615,16:04,13-May,1.025716028,10.17807758,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
5.2,E-H-SI Batch Cross,5,2,5N,12,Heat,96,1,4/2/22,0.349,0.21,0.753,13.5,50,3,5/9/22,0.34,0.34,0.39,0.39,0.435,0.435,11.5,11.5,31,0,36,1.7,2.1,1.6,6.58,16:00,3/29/22,1.024667911,10.11865602,6.727,3:50,7-May,1.024834613,10.34561626,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
5.3,E-H-SI Batch Cross,5,3,6N,30,Control,103,7,4/2/22,0.422,0.219,0.655,17.5,102,3,5/12/22,0.26,0.26,0.34,0.34,0.451,0.451,10.2,10.2,35,0,36,1.59,1.88,1.88,6.381,13:15,3/30/22,1.024670821,9.812650855,6.519,12:20,12-May,1.025757042,10.03058455,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
5.5,E-H-SI Batch Cross,5,5,5S,49,Heat,13,2,3/29/22,0.343,0.257,0.682,8.9,mort run 1,7,4/29/22,0.25,NA,0.29,NA,0.455,NA,4.6,NA,22,1,22,2.38,2.5,0.9,6.695,17:05,4/1/22,1.024612853,10.29520433,6.95,NA,4/29/22,1.024899,10.6889346,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
5.6,E-H-SI Batch Cross,5,6,6S,60,Control,24,3,3/30/22,0.454,0.203,NA,NA,82,6,5/11/22,0.26,0.26,0.358,0.358,0.471,0.471,13.2,13.2,34,0,36,2.8,3.03,3.03,7.031,15:45,3/31/22,1.024252927,10.80984476,7.24,11:56,11-May,1.02604885,11.14167241,E-H-SI Batch Cross,E-H-SI Batch Cross,25.09277 N 80.3331 W
