Sample,CqH1,CqH2,CqH3,CqH4,CqH_CV,CqD1,CqD2,CqD3,CqD4,CqD_CV,CqC1,CqC2,CqC3,CqC4,CqC_CV,CqA1,CqA2,CqA3,CqA4,CqA_CV,CqH_avg,CqD_avg,CqC_avg,CqA_avg,CqH_scaled,CqD_scaled,CqC_scaled,CqA_scaled,SH_D,SH_C,SH_A,SH_T,%D,%C,%A
2.1,19.24,20.5,,,4.48391819,27.31,27.91,,,1.536631904,40,40,,,0,40,40,,,0,19.87,27.61,40,40,19.87,27.61,38.77,40,0.1483765315,0.000008457926014,0.00001842944724,0.1484034189,0.9998188224,0.00005699279758,0.0001241847888
2.2,21.2,20.71,,,1.653458949,24.47,26.01,,,4.314359917,40,40,,,0,36.57,40,,,6.335056182,20.955,25.24,40,38.285,20.955,25.24,38.77,38.285,1.627135985,0.00001794243688,0.0001283501254,1.627282277,0.9999101001,0.00001102601382,0.00007887391584
2.3,19.32,19.24,,,0.2934053034,25.81,25.93,,,0.3279969607,40,40,,,0,40,40,,,0,19.28,25.87,40,40,19.28,25.87,38.77,40,0.3292681395,0.000005618963156,0.00001224347255,0.329286002,0.999945754,0.00001706408144,0.00003718187982
2.4,18.18,18.6,,,1.614925765,25.98,26.5,,,1.401278682,37.16,40,,,5.20524432,40,40,,,0,18.39,26.24,38.58,40,18.39,26.24,37.35,40,0.1374839228,0.000008113384949,0.000006606750646,0.1374986429,0.9998929434,0.00005900701838,0.00004804956984
2.5,20.8,19.49,,,4.598212377,26.74,26.88,,,0.3692463609,40,36.14,,,7.16950926,39.06,40,,,1.681458068,20.145,26.81,38.07,39.53,20.145,26.81,36.84,39.53,0.3125881139,0.00003899734336,0.00003088727937,0.3126579986,0.9997764822,0.0001247284366,0.00009878934654
2.6,20.93,20.42,,,1.744253729,25.64,25.85,,,0.5767816044,40,40,,,0,40,40,,,0,20.675,25.745,40,40,20.675,25.745,38.77,40,0.9443115533,0.00001477722984,0.00003219893119,0.9443585295,0.999950256,0.00001564790213,0.00003409608764
3.1,18.57,18.46,,,0.4201012473,34.69,33.98,,,1.462198383,40,40,,,0,25.49,25.23,,,0.7249517473,18.515,34.335,40,25.36,18.515,34.335,38.77,25.36,0.0005483310635,0.000003306497797,0.1839483098,0.1844999474,0.002971984931,0.00001792140238,0.9970100937
3.3,22.04,22.03,,,0.03209016479,32.31,39.31,,,13.82224928,40,40,,,0,25.91,26.22,,,0.8409863885,22.035,35.81,40,26.065,22.035,35.81,38.77,26.065,0.002262815739,0.00003793095895,1.294479686,1.296780433,0.001744949015,0.00002925010124,0.9982258009
3.4,19.24,19.36,,,0.4396518847,33.71,34.51,,,1.658415201,40,40,,,0,28.9,29.35,,,1.092525499,19.3,34.11,40,29.125,19.3,34.11,38.77,29.125,0.001104290015,0.000005697400958,0.02331451657,0.02442450399,0.04521238245,0.0002332657794,0.9545543518
3.5,20.6,20.1,,,1.737363099,33.71,34,,,0.6057036377,40,40,,,0,28.57,29.52,,,2.312795463,20.35,33.855,40,29.045,20.35,33.855,38.77,29.045,0.002728520931,0.00001179663874,0.05102585726,0.05376617483,0.0507479087,0.0002194063233,0.949032685
3.6,19.85,18.87,,,3.579362839,34.67,40,,,10.09476133,40,40,,,0,24.95,25.04,,,0.2546093631,19.36,37.335,40,24.995,19.36,37.335,38.77,24.995,0.0001231184698,0.000005939345425,0.4255416729,0.4256707307,0.0002892340509,0.00001395291007,0.999696813
4.1,16.91,16.51,,,1.692655371,26.97,26.3,,,1.778718015,30.56,30.89,,,0.759463752,37.55,39.99,,,4.450194857,16.71,26.635,30.725,38.77,16.71,26.635,29.495,38.77,0.03262981971,0.0005862222599,0.000004836424559,0.0332208784,0.9822082163,0.01764619986,0.0001455838856
4.3,19.74,19.47,,,0.9738272426,26.03,25.42,,,1.676715788,28.33,28.68,,,0.8682244288,40,40,,,0,19.605,25.725,28.505,40,19.605,25.725,27.275,40,0.4560724176,0.02031565051,0.00001533696267,0.4764034051,0.9573240089,0.04264379788,0.00003219322639
4.4,18.58,18.69,,,0.4173960071,25.22,25.99,,,2.126429297,32.07,32.21,,,0.3080116657,40,40,,,0,18.635,25.605,32.14,40,18.635,25.605,30.91,40,0.2530220158,0.0008348099238,0.00000782961243,0.2538646553,0.9966807528,0.00328840548,0.00003084167987
4.5,21.91,21.85,,,0.1939049674,23.34,22.81,,,1.624123918,31.65,30.34,,,2.988578427,40,40,,,0,21.88,23.075,30.995,40,21.88,23.075,29.765,40,13.8550002,0.01750287068,0.00007423053672,13.8725773,0.9987329607,0.001261688459,0.000005350882904
