bam,ind,cross,sampleID,Genet
21073D-03-01_S46_L003,0,E-H-SI Batch Cross,AP2,2
21073D-03-02_S75_L005,1,E-H-SI Batch Cross,X-AP-3,3
21073D-03-03_S76_L005,2,E-H-SI Batch Cross,AP4,4
21073D-03-04_S77_L005,3,E-H-SI Batch Cross,X-AP-5,5
21073D-03-05_S47_L003,4,E-H-SI Batch Cross,AP6,6
21073D-03-06_S78_L005,5,E-H-SI Batch Cross,X-AP-7,7
21073D-02-40_S96_L002,184,E-H-SI Batch Cross,AP8_Hi,8
21073D-03-07_S48_L003,6,E-H-SI Batch Cross,AP8_Lo,8
21073D-03-08_S79_L005,7,E-H-SI Batch Cross,AP10,10
21073D-03-09_S83_L005,8,E-H-SI Batch Cross,AP11,11
21073D-03-10_S49_L003,19,E-H-SI Batch Cross,X-AP-12,12
21073D-03-11_S50_L003,30,E-H-SI Batch Cross,AP13,13
21073D-02-39_S93_L002,183,E-H-SI Batch Cross,AP14_Hi,14
21073D-03-12_S80_L005,41,E-H-SI Batch Cross,AP14_Lo,14
21073D-03-13_S84_L005,52,E-H-SI Batch Cross,X-AP-15,15
21073D-03-14_S51_L003,63,E-H-SI Batch Cross,AP16,16
21073D-03-15_S52_L003,72,E-H-SI Batch Cross,AP17,17
21073D-03-16_S53_L003,73,E-H-SI Batch Cross,AP18,18
21073D-03-17_S85_L005,74,E-H-SI Batch Cross,AP19,19
21073D-03-18_S54_L003,75,E-H-SI Batch Cross,X-AP-20,20
21073D-03-19_S86_L005,76,E-H-SI Batch Cross,AP21,21
21073D-03-20_S55_L003,77,E Batch Cross,X-AP-22,22
21073D-03-21_S81_L005,78,E Batch Cross,X-AP-23,23
21073D-03-22_S87_L005,79,E Batch Cross,X-AP-24,24
21073D-03-23_S56_L003,80,E-H-SI Batch Cross,AP26,26
21073D-03-24_S57_L003,81,E-H-SI Batch Cross,AP27,27
21073D-03-25_S58_L003,82,E-H-SI Batch Cross,AP28,28
21073D-02-38_S117_L003,182,UNK,AP29_Hi,29
21073D-03-26_S59_L003,83,E-H-SI Batch Cross,AP29_Lo,29
21073D-02-37_S0_L001,181,E-H Batch Cross,AP30_Hi,30
21073D-03-27_S60_L003,84,E-H Batch Cross,AP30_Lo,30
21073D-03-28_S61_L003,85,E-H-SI Batch Cross,AP31,31
21073D-03-29_S62_L003,86,E-H-SI Batch Cross,AP33,33
21073D-03-30_S63_L003,87,Wild Adults,ML-LK-9,37
21073D-03-31_S64_L003,88,Wild Adults,C-U-TR-5,38
21073D-03-32_S82_L005,89,Wild Adults,ML-SK-4,40
21073D-03-33_S65_L003,90,Wild Adults,ML-WDR-2,41
21073D-03-34_S66_L003,91,E-H-SI Batch Cross,AP43,43
21073D-03-35_S67_L003,92,E-B Batch Cross,AP50,50
21073D-03-36_S68_L003,93,E-B Batch Cross,AP51,51
21073D-03-37_S69_L003,94,E-B Batch Cross,AP53,53
21073D-02-25_S164_L003,169,E-B Batch Cross,AP54_Hi,54
21073D-03-38_S70_L003,95,E-B Batch Cross,AP54_Lo,54
21073D-02-26_S110_L003,170,E-B Batch Cross,AP55_Hi,55
21073D-03-39_S71_L003,96,E-B Batch Cross,AP55_Lo,55
21073D-02-27_S112_L003,171,E-B Batch Cross,AP56_Hi,56
21073D-03-40_S72_L003,97,E-B Batch Cross,AP56_Lo,56
21073D-03-41_S73_L003,98,E-B Batch Cross,AP57,57
21073D-03-42_S74_L003,99,E-B Batch Cross,AP58,58
21073D-03-43_S75_L003,100,E-B Batch Cross,AP59,59
21073D-03-44_S76_L003,101,E-B Batch Cross,AP60,60
21073D-03-45_S77_L003,102,E-B Batch Cross,AP61,61
21073D-03-46_S78_L003,103,E-B Batch Cross,AP62,62
21073D-02-28_S113_L003,172,E-B Batch Cross,AP63_Hi,63
21073D-03-47_S79_L003,104,E-B Batch Cross,AP63_Lo,63
21073D-03-48_S88_L005,105,E-B Batch Cross,AP64,64
21073D-03-49_S80_L003,106,E-B Batch Cross,AP65,65
21073D-02-29_S165_L003,168,E-B Batch Cross,AP66_Hi,66
21073D-03-50_S89_L005,107,E-B Batch Cross,AP66_Lo,66
21073D-03-51_S81_L003,108,E-B Batch Cross,AP67,67
21073D-03-52_S82_L003,109,E-B Batch Cross,AP68,68
21073D-03-53_S83_L003,110,E-B Batch Cross,AP69,69
21073D-03-54_S84_L003,111,E-B Batch Cross,AP70,70
21073D-03-55_S85_L003,112,E-B Batch Cross,AP71,71
21073D-03-56_S86_L003,113,E-B Batch Cross,AP72,72
